file_name,page_num,item_order,text
LM10_E5091_12_31_2015_620690.pdf,17,1,$749.00
LM10_E5091_12_31_2015_620690.pdf,17,2,$47.00
LM10_E5091_12_31_2015_620690.pdf,18,1,$17.47
LM10_E5091_12_31_2015_620690.pdf,19,1,$14.00
LM10_E5091_12_31_2015_620690.pdf,20,1,$52.00
LM10_E5091_12_31_2015_620690.pdf,21,1,$37.00
LM10_E5091_12_31_2015_620690.pdf,22,1,$360.00
LM10_E5091_12_31_2015_620690.pdf,22,2,$25.00
LM10_E5091_12_31_2015_620690.pdf,22,3,$29.00
LM10_E5091_12_31_2015_620690.pdf,23,1,$59.21
LM10_E5091_12_31_2015_620690.pdf,24,1,$55.00
LM10_E5091_12_31_2015_620690.pdf,24,2,$199.00
LM10_E5091_12_31_2015_620690.pdf,25,1,$26.00
LM10_E5091_12_31_2015_620690.pdf,25,2,$355.00
LM10_E5091_12_31_2015_620690.pdf,25,3,$20.00
LM10_E5091_12_31_2015_620690.pdf,25,4,$2.00
LM10_E5091_12_31_2015_620690.pdf,25,5,$29.00
LM10_E5091_12_31_2015_620690.pdf,26,1,$37.00
LM10_E5091_12_31_2015_620690.pdf,26,2,$336.00
LM10_E5091_12_31_2015_620690.pdf,26,3,$34.00
LM10_E5091_12_31_2015_620690.pdf,26,4,$26.00
LM10_E5091_12_31_2015_620690.pdf,26,5,$84.00
LM10_E5091_12_31_2015_620690.pdf,27,1,$199.00
LM10_E5091_12_31_2015_620690.pdf,28,1,$12.02
LM10_E5091_12_31_2015_620690.pdf,28,2,$13.25
LM10_E5091_12_31_2015_620690.pdf,28,3,$662.90
LM10_E5091_12_31_2015_620690.pdf,28,4,$17.05
LM10_E5091_12_31_2015_620690.pdf,28,5,$13.63
LM10_E5091_12_31_2015_620690.pdf,29,1,$16.00
LM10_E5091_12_31_2015_620690.pdf,29,2,$18.62
LM10_E5091_12_31_2015_620690.pdf,29,3,$151.00
LM10_E5091_12_31_2015_620690.pdf,29,4,$15.00
LM10_E5091_12_31_2015_620690.pdf,29,5,$15.00
LM10_E5091_12_31_2015_620690.pdf,30,1,$13.89
LM10_E5091_12_31_2015_620690.pdf,31,1,$223.00
LM10_E5091_12_31_2015_620690.pdf,31,2,$19.00
LM10_E5091_12_31_2015_620690.pdf,31,3,$11.00
LM10_E5091_12_31_2015_620690.pdf,31,4,$10.00
LM10_E5091_12_31_2015_620690.pdf,31,5,$212.00
LM10_E5091_12_31_2015_620690.pdf,32,1,$218.00
LM10_E5091_12_31_2015_620690.pdf,32,2,$19.00
LM10_E5091_12_31_2015_620690.pdf,32,3,$36.00
LM10_E5091_12_31_2015_620690.pdf,32,4,$61.00
LM10_E5091_12_31_2015_620690.pdf,32,5,$271.00
LM10_E5091_12_31_2015_620690.pdf,33,1,$787.00
LM10_E5091_12_31_2015_620690.pdf,33,2,$429.00
LM10_E5091_12_31_2015_620690.pdf,33,3,$20.00
LM10_E5091_12_31_2015_620690.pdf,33,4,$25.00
LM10_E5091_12_31_2015_620690.pdf,33,5,$16.00
LM10_E5091_12_31_2015_620690.pdf,34,1,$5.00
LM10_E5091_12_31_2015_620690.pdf,34,2,$126.00
LM10_E5091_12_31_2015_620690.pdf,35,1,$263.00
LM10_E5091_12_31_2015_620690.pdf,36,1,$144.00
LM10_E5091_12_31_2015_620690.pdf,36,2,$20.00
LM10_E5091_12_31_2015_620690.pdf,36,3,$22.00
LM10_E5091_12_31_2015_620690.pdf,36,4,$28.00
LM10_E5091_12_31_2015_620690.pdf,36,5,$127.00
LM10_E5091_12_31_2015_620690.pdf,37,1,$18.00
LM10_E5091_12_31_2015_620690.pdf,37,2,$92.00
LM10_E5091_12_31_2015_620690.pdf,37,3,$151.00
LM10_E5091_12_31_2015_620690.pdf,38,1,$55.00
LM10_E5091_12_31_2015_620690.pdf,38,2,$199.00
LM10_E5091_12_31_2015_620690.pdf,39,1,$26.00
LM10_E5091_12_31_2015_620690.pdf,39,2,$335.00
LM10_E5091_12_31_2015_620690.pdf,39,3,$2.00
LM10_E5091_12_31_2015_620690.pdf,39,4,$20.00
LM10_E5091_12_31_2015_620690.pdf,39,5,$37.00
LM10_E5091_12_31_2015_620690.pdf,40,1,$42.00
LM10_E5091_12_31_2015_620690.pdf,41,1,$348.00
LM10_E5091_12_31_2015_620690.pdf,41,2,$34.00
LM10_E5091_12_31_2015_620690.pdf,42,1,$20.00
LM10_E5091_12_31_2015_620690.pdf,42,2,$28.00
LM10_E5091_12_31_2015_620690.pdf,42,3,$25.00
LM10_E5091_12_31_2015_620690.pdf,42,4,$36.00
LM10_E5091_12_31_2015_620690.pdf,42,5,$22.00
